學年,選別,科目,上學期_學分,上學期_成績,下學期_學分,下學期_成績
111,必,運算思維與程式設計,2.0,100,,
111,必,國文(一),2.0,92,,
111,必,國文(二),,,2.0,93
111,必,法律與數位生活,2.0,92,,
111,必,大一外文英文,2.0,80,2.0,84
111,必,體育(一),2.0,86,,
111,必,體育(二),,,2.0,91
111,必,全媒體識讀,2.0,87,,
111,必,機率與統計,,,3.0,100
111,必,管理學,,,3.0,79
111,必,程式設計一,3.0,88,,
111,必,程式設計二,,,3.0,95
111,選,電子計算機概論,3.0,99,,
111,選,微積分,,,3.0,97
111,選,多媒體軟體應用,3.0,93,,
111,選,雲端入門,,,3.0,99
111,通,漫談航太科技,2.0,93,,
111,通,漫遊物理世界,,,2.0,96
111,通,資訊科技應用,1.0,抵,,
112,必,大二英文,2.0,100,,
112,必,物件導向程式設計,3.0,92,,
112,必,資料結構,,,3.0,89
112,必,電腦網路,,,3.0,99
112,選,數位邏輯設計,3.0,92,,
112,選,網頁程式設計,3.0,99,,
112,選,作業研究,,,3.0,100
112,選,離散數學,3.0,79,,
112,選,資訊管理,3.0,91,,
112,選,網頁伺服端程式設計,,,3.0,100
112,選,行動裝置程式設計,,,3.0,99
112,選,網頁程式認證,,,3.0,停修
112,選,人工智慧作業平台,3.0,93,,
112,選,雲端架構,,,3.0,99
112,選,組織行為,3.0,96,,
112,選,體育興趣-排球初級,2.0,85,,
112,通,通識：運動營養學,,,2.0,98
112,通,通識：通識講座,,,2.0,90
113,必,網路程式設計,3.0,89,,
113,必,作業系統,,,3.0,75
113,必,畢業專題(一),,,3.0,80
113,必,無線網路技術,,,3.0,75
113,必,資料庫系統,3.0,73,,
113,選,系統分析與設計,,,3.0,85
113,選,演算法,3.0,71,,
113,選,影像處理,3.0,92,,
113,選,智慧聯網,,,3.0,84
113,選,網路系統管理,3.0,91,,
113,選,左傳(二),,,2.0,94
113,通,通識：先秦文史的愛恨情愁,2.0,93,,
